Release date: February 2017,,,,,,,,,
"Table HC3.5  Appliances in U.S. homes by household income, 20151",,,,,,,,,
4 to 7 times per week,28.3,4.3,6.0,5.0,4.3,2.5,2.4,1.5,2.4
8 to 14 times per week,3.7,0.6,1.0,0.5,0.6,0.3,0.4,Q,0.2
15 or more times per week,1.1,0.5,0.2,Q,Q,Q,Q,Q,Q
Do not have a stove,10.1,1.1,1.5,1.1,1.2,0.8,1.1,0.7,2.5
Separate cooktops,,,,,,,,,
Have a separate cooktop,17.0,1.9,3.0,2.3,2.0,1.5,1.8,1.2,3.4
1,16.7,1.8,2.9,2.2,2.0,1.5,1.8,1.2,3.3
2 or more,0.3,Q,Q,Q,Q,N,N,Q,Q
Do not have a separate cooktop,101.2,20.7,24.1,16.3,13.4,8.3,6.3,4.2,7.8
Most-used separate cooktop fuel,,,,,,,,,
Electricity,9.5,1.1,2.0,1.5,1.3,0.7,1.0,0.6,1.2
Natural gas,6.5,0.6,0.9,0.7,0.5,0.7,0.7,0.5,1.8
Propane,1.1,Q,Q,Q,Q,Q,Q,Q,0.3
Do not have a separate cooktop,101.2,20.7,24.1,16.3,13.4,8.3,6.3,4.2,7.8
Most-used separate cooktop usage,,,,,,,,,
0 times per week,2.1,0.5,0.4,0.4,0.4,Q,Q,Q,Q
1 to 3  times per week,3.1,0.4,0.5,0.5,0.3,0.3,0.3,0.3,0.5
4 to 7 times per week,6.6,0.3,1.3,0.9,0.8,0.6,0.8,0.4,1.4
8 to 14 times per week,3.4,0.4,0.5,0.3,0.4,0.2,0.4,0.3,0.9
15 or more times per week,1.9,Q,0.3,0.2,Q,0.2,0.2,Q,0.4
Do not have a separate cooktop,101.2,20.7,24.1,16.3,13.4,8.3,6.3,4.2,7.8
Separate wall ovens,,,,,,,,,
Have a separate wall oven,14.0,1.2,1.9,1.6,1.7,1.3,1.8,1.0,3.5
1,10.0,1.0,1.7,1.4,1.4,0.9,1.3,0.6,1.8
2 or more,3.9,Q,0.3,0.2,0.3,0.4,0.5,0.4,1.6
Do not have a separate wall oven,104.2,21.4,25.2,17.0,13.7,8.4,6.4,4.4,7.7
Most-used separate wall oven fuel,,,,,,,,,
Electricity,12.0,0.8,1.7,1.3,1.5,1.0,1.6,1.0,3.1
Natural gas,1.8,0.3,0.3,0.3,Q,0.3,0.2,Q,0.3
Propane,Q,Q,N,Q,Q,Q,N,N,Q
Do not have a separate wall oven,104.2,21.4,25.2,17.0,13.7,8.4,6.4,4.4,7.7
Most-used separate wall oven usage,,,,,,,,,
0 times per week,2.0,0.5,0.4,0.2,0.3,0.2,Q,Q,0.2
1 to 3  times per week,6.2,0.3,0.9,0.9,0.8,0.5,0.8,0.4,1.5
4 to 7 times per week,4.6,Q,0.5,0.4,0.4,0.5,0.6,0.5,1.5
8 to 14 times per week,0.8,Q,Q,Q,Q,Q,Q,Q,0.2
15 or more times per week,0.3,Q,Q,Q,Q,Q,Q,Q,Q
Do not have a separate wall oven,104.2,21.4,25.2,17.0,13.7,8.4,6.4,4.4,7.7
Frequency of hot meals cooked,,,,,,,,,
No hot meals cooked,0.8,0.3,0.3,Q,Q,N,Q,Q,Q
Less than once a week,2.4,0.5,0.5,0.5,0.3,0.3,Q,Q,Q
About once a week,2.6,0.5,0.8,0.4,0.4,Q,0.2,Q,Q
A few times each week,19.9,3.5,4.6,3.5,2.8,1.9,1.1,0.5,2.0
Once a day,36.0,5.4,7.3,5.9,5.5,3.3,2.8,2.1,3.7
2 times a day,38.3,7.4,9.6,5.8,4.2,2.9,2.9,1.9,3.7
3 or more times a day,18.1,5.0,4.2,2.4,2.3,1.4,0.8,0.7,1.5
Microwave ovens,,,,,,,,,
Have a microwave oven,113.6,20.9,26.1,18.1,14.7,9.4,8.0,5.4,11.0
1,108.8,20.4,25.2,17.4,13.9,8.9,7.5,5.2,10.3
2 or more,4.8,0.6,0.8,0.7,0.8,0.5,0.5,0.2,0.7
Do not have a microwave oven,4.6,1.6,1.1,0.5,0.7,Q,Q,Q,Q
Microwave oven usage,,,,,,,,,
0 times per week,1.6,0.6,0.4,0.2,0.2,Q,Q,Q,Q
1 to 3  times per week,10.5,2.5,2.4,1.7,1.4,1.0,0.5,0.4,0.8
4 to 7 times per week,38.8,7.4,9.2,6.3,5.3,3.5,2.4,1.5,3.3
8 to 14 times per week,27.8,4.6,6.5,4.8,3.5,2.5,2.1,1.3,2.6
15 or more times per week,34.8,5.9,7.6,5.1,4.4,2.5,2.9,2.1,4.3
Do not have a microwave oven,4.6,1.6,1.1,0.5,0.7,Q,Q,Q,Q
Outdoor grills and fuel,,,,,,,,,
Use an outdoor grill,69.4,7.9,13.4,11.9,10.3,7.0,6.2,4.2,8.6
Natural gas,4.2,0.2,0.6,0.5,0.5,0.3,0.5,0.3,1.2
Propane,42.3,3.5,6.9,7.2,6.6,4.7,4.4,3.2,5.8
Charcoal,22.2,4.0,5.6,4.0,3.1,1.9,1.2,0.7,1.6
Some other fuel,0.7,Q,0.2,Q,Q,Q,Q,Q,Q
Do not use an outdoor grill,48.8,14.7,13.8,6.8,5.1,2.7,2.0,1.2,2.6
Small kitchen appliances used at least once each week (more than one may apply),,,,,,,,,
Toaster,74.2,12.9,17.0,11.9,10.3,6.4,5.3,3.7,6.8
Toaster oven,28.9,4.7,6.3,4.7,3.5,2.1,2.4,1.7,3.6
Coffee maker,76.1,12.2,17.0,12.2,10.1,7.0,5.2,4.3,8.1
Slow cooker,33.5,5.2,7.5,5.2,5.0,2.9,2.9,1.6,3.1
Food processor,12.4,1.5,2.3,2.0,1.9,1.0,1.4,0.6,1.9
Rice cooker,14.4,1.9,3.1,1.9,2.0,1.3,1.5,0.8,1.9
Blender or juicer,30.8,4.7,6.1,4.9,4.1,2.6,3.0,1.6,3.8
Some other small kitchen appliance3,12.4,2.4,2.9,1.9,1.7,0.9,0.7,0.6,1.3
Refrigerators,,,,,,,,,
Use a refrigerator,117.4,22.1,27.0,18.6,15.2,9.7,8.1,5.4,11.2
1,82.0,18.8,21.0,13.6,10.1,5.7,4.8,2.9,5.1
2 or more,35.4,3.2,5.9,5.0,5.2,4.0,3.4,2.5,6.1
Do not use a refrigerator,0.8,0.4,Q,Q,Q,Q,N,Q,N
Most-used refrigerator size,,,,,,,,,
Half-size or compact,0.9,0.5,0.2,Q,N,Q,N,Q,Q
Small (less than 17.6 cubic feet),6.7,2.4,1.9,0.9,0.6,0.3,Q,Q,0.3
Medium (17.6 to 22.5 cubic feet),59.2,12.5,15.4,10.5,7.8,4.2,3.1,2.0,3.7
Large (22.6 to 29.5 cubic feet),48.8,6.5,9.2,7.0,6.7,5.0,4.7,3.1,6.6
Very large (more than 29.5 cubic feet),1.8,Q,0.3,0.2,Q,0.2,0.2,Q,0.6
Do not use a refrigerator,0.8,0.4,Q,Q,Q,Q,N,Q,N
Most-used refrigerator type,,,,,,,,,
Half-size/compact,0.9,0.5,0.2,Q,N,Q,N,Q,Q
One door,9.4,2.8,2.8,1.2,1.3,0.5,0.4,0.2,0.2
"Two doors, top freezer",51.5,13.7,13.8,9.0,6.0,2.9,2.2,1.3,2.5
"Two doors, bottom freezer",15.5,1.1,2.2,2.0,2.3,1.7,2.0,1.3,2.7
"Two doors, side by side",37.2,3.9,7.7,5.9,5.4,4.2,3.0,2.2,4.9
Three or more doors,2.9,Q,0.3,0.3,0.3,0.4,0.5,0.2,0.8
Do not use a refrigerator,0.8,0.4,Q,Q,Q,Q,N,Q,N
Most-used refrigerator age,,,,,,,,,
Less than 2 years old,15.8,3.2,3.1,2.1,2.0,1.4,1.4,0.8,1.7
2 to 4 years old,26.2,5.1,5.8,4.4,3.1,2.3,1.7,1.2,2.6
5 to 9 years old,41.0,8.2,9.2,6.0,5.6,3.4,2.9,1.9,3.7
10 to 14 years old,22.2,3.3,5.3,3.9,3.1,1.8,1.5,1.0,2.3
15 to 19 years old,7.4,1.1,2.3,1.4,0.9,0.5,0.3,0.3,0.7
20 or more years old,4.7,1.2,1.3,0.8,0.5,0.3,0.2,Q,0.3
Do not use a refrigerator,0.8,0.4,Q,Q,Q,Q,N,Q,N
Most-used refrigerator through-the-door ice service,,,,,,,,,
Yes,41.8,3.4,7.8,6.4,6.0,4.9,4.2,3.1,5.9
No,75.6,18.6,19.2,12.2,9.2,4.8,3.9,2.3,5.3
Do not use a refrigerator,0.8,0.4,Q,Q,Q,Q,N,Q,N
Second refrigerator,,,,,,,,,
Use a second refrigerator,35.4,3.2,5.9,5.0,5.2,4.0,3.4,2.5,6.1
Do not use a second refrigerator,82.8,19.3,21.2,13.6,10.2,5.7,4.8,2.9,5.1
Second refrigerator size,,,,,,,,,
Half-size or compact,8.2,1.0,1.3,1.3,1.3,0.8,0.6,0.6,1.3
Small (less than 17.6 cubic feet),5.5,0.7,1.0,0.8,0.9,0.6,0.4,0.2,0.9
Medium (17.6 to 22.5 cubic feet),14.6,1.2,2.5,2.1,2.1,1.8,1.5,1.2,2.2
Large (22.6 to 29.5 cubic feet),6.9,0.3,1.1,0.8,0.9,0.8,0.8,0.6,1.7
Very large (more than 29.5 cubic feet),0.2,Q,Q,Q,Q,Q,N,N,Q
Do not use a second refrigerator,82.8,19.3,21.2,13.6,10.2,5.7,4.8,2.9,5.1
Second refrigerator type,,,,,,,,,
Half-size or compact,8.2,1.0,1.3,1.3,1.3,0.8,0.6,0.6,1.3
One door,5.8,0.8,0.9,0.9,0.7,0.8,0.5,0.3,0.9
"Two doors, top freezer",14.4,1.0,2.7,2.0,2.2,1.7,1.4,1.0,2.4
"Two doors, bottom freezer",1.1,Q,Q,Q,0.2,Q,0.2,Q,0.2
"Two doors, side by side",5.7,0.3,0.9,0.6,0.9,0.7,0.6,0.6,1.2
Three or more doors,Q,Q,N,N,N,Q,Q,Q,Q
Do not use a second refrigerator,82.8,19.3,21.2,13.6,10.2,5.7,4.8,2.9,5.1
Second refrigerator age,,,,,,,,,
Less than 2 years old,2.8,0.4,0.5,0.4,0.5,0.3,Q,Q,0.5
2 to 4 years old,5.1,0.5,0.8,0.8,0.8,0.4,0.4,0.4,0.9
5 to 9 years old,9.8,1.1,1.4,1.5,1.5,1.1,1.1,0.6,1.4
10 to 14 years old,9.3,0.6,1.4,1.4,1.2,1.3,0.9,0.7,1.8
15 to 19 years old,4.8,0.4,0.9,0.6,0.6,0.6,0.4,0.5,0.9
20 or more years old,3.6,0.3,0.8,0.5,0.6,0.4,0.3,0.2,0.6
Do not use a second refrigerator,82.8,19.3,21.2,13.6,10.2,5.7,4.8,2.9,5.1
Second refrigerator location,,,,,,,,,
Basement,6.8,0.5,1.1,0.7,1.0,0.8,0.7,0.6,1.5
Garage,16.1,0.8,2.3,2.5,2.5,1.9,1.9,1.1,3.0
Outside,1.8,Q,0.3,0.3,0.4,0.2,Q,Q,0.1
Main floor of house,8.9,1.4,1.9,1.3,1.2,0.8,0.6,0.5,1.3
Some other location,1.7,Q,0.4,0.2,Q,0.4,Q,Q,Q
Do not use a second refrigerator,82.8,19.3,21.2,13.6,10.2,5.7,4.8,2.9,5.1
Separate freezers,,,,,,,,,
Use a separate freezer,38.1,5.0,8.4,6.9,5.9,3.7,2.7,2.2,3.4
1,34.3,4.6,7.3,6.5,5.2,3.4,2.3,2.0,3.1
2 or more,3.8,0.4,1.0,0.4,0.7,0.3,0.4,Q,0.3
Do not use a separate freezer,80.1,17.5,18.8,11.7,9.5,6.0,5.4,3.3,7.8
Most-used separate freezer size,,,,,,,,,
Half-size or compact,3.2,0.6,0.8,0.7,0.3,0.3,Q,Q,0.2
Small (less than 17.6 cubic feet),11.9,1.6,2.7,2.5,2.1,0.9,0.8,0.7,0.7
Medium (17.6 to 22.5 cubic feet),15.2,2.0,3.2,2.4,2.5,1.6,1.1,0.9,1.6
Large (22.6 to 29.5 cubic feet),7.2,0.7,1.6,1.3,0.9,0.9,0.6,0.4,0.7
Very large (more than 29.5 cubic feet),0.5,Q,Q,Q,Q,Q,Q,Q,Q
Do not use a separate freezer,80.1,17.5,18.8,11.7,9.5,6.0,5.4,3.3,7.8
Most-used separate freezer type,,,,,,,,,
Upright,17.8,2.2,3.8,2.8,2.7,2.0,1.4,1.1,1.8
Chest,20.3,2.9,4.6,4.1,3.1,1.7,1.3,1.1,1.6
Do not use a separate freezer,80.1,17.5,18.8,11.7,9.5,6.0,5.4,3.3,7.8
Most-used separate freezer age,,,,,,,,,
Less than 2 years old,3.7,0.5,1.0,0.5,0.8,0.2,0.2,Q,0.4
2 to 4 years old,6.1,1.1,1.2,1.1,0.9,0.5,0.3,0.4,0.5
5 to 9 years old,11.1,1.4,2.3,1.9,1.8,1.3,0.9,0.6,1.0
10 to 14 years old,8.2,0.8,1.9,1.7,1.1,0.6,0.8,0.4,0.8
15 to 19 years old,4.1,0.6,0.8,0.8,0.5,0.5,0.2,0.2,0.4
20 or more years old,4.9,0.5,1.1,0.9,0.8,0.5,0.3,0.4,0.3
Do not use a separate freezer,80.1,17.5,18.8,11.7,9.5,6.0,5.4,3.3,7.8
Dishwashers and usage,,,,,,,,,
Have a dishwasher,80.1,8.4,16.1,13.0,11.9,8.4,7.2,4.9,10.3
Used 0 times per week,15.9,3.1,4.8,2.7,1.9,0.9,1.1,0.5,0.8
Used 1 time per week,13.6,1.8,2.9,2.6,1.7,1.7,0.9,0.7,1.3
Used 2 to 3 times per week,25.8,1.8,4.9,4.2,4.0,3.2,2.5,1.7,3.5
Used 4 to 6 times per week,15.4,1.1,2.0,2.5,2.8,1.6,1.4,1.3,2.6
Used 7 or more times per week,9.4,0.6,1.5,0.9,1.6,1.0,1.3,0.6,2.0
Do not have a dishwasher,38.1,14.1,11.1,5.7,3.5,1.4,0.9,0.6,0.9
Dishwasher age,,,,,,,,,
Less than 2 years old,11.3,1.2,2.2,1.3,1.8,1.1,1.2,0.6,1.8
2 to 4 years old,16.3,1.6,3.0,2.4,2.4,1.8,1.6,1.2,2.2
5 to 9 years old,27.0,2.9,4.8,4.8,4.1,2.8,2.3,1.8,3.5
10 to 14 years old,16.6,1.6,3.6,2.9,2.5,1.6,1.3,1.0,2.1
15 to 19 years old,5.1,0.5,1.5,0.9,0.6,0.6,0.4,Q,0.4
20 or more years old,3.9,0.6,1.0,0.7,0.5,0.4,0.3,Q,0.3
Do not have a dishwasher,38.1,14.1,11.1,5.7,3.5,1.4,0.9,0.6,0.9
Most-used dishwasher cycle type,,,,,,,,,
Normal or default cycle without heated dry,14.6,1.1,2.9,2.6,2.2,1.7,1.5,0.8,2.0
Normal or default cycle with heated dry,37.3,3.0,6.1,5.5,6.1,4.3,3.7,2.7,5.9
"Heavy or ""pots and pans"" cycle",5.1,0.3,1.2,0.9,0.7,0.7,0.3,0.3,0.5
Light or delicate cycle,1.8,Q,0.5,0.3,0.2,0.2,Q,Q,0.2
Energy saver,5.4,0.7,0.7,0.9,0.8,0.5,0.4,0.4,0.9
Do not have or use a dishwasher,54.0,17.3,15.8,8.4,5.4,2.3,2.0,1.1,1.7
Clothes washers,,,,,,,,,
Have a clothes washer at home,97.6,14.1,21.5,16.5,13.5,9.0,7.7,5.0,10.2
Top-loading,73.8,12.1,18.0,13.6,10.0,6.3,5.1,3.1,5.6
Front-loading,23.9,2.0,3.5,2.9,3.5,2.7,2.6,2.0,4.7
Do not have a clothes washer at home,20.6,8.4,5.6,2.1,1.8,0.7,0.5,0.4,1.0
Clothes washer age,,,,,,,,,
Less than 2 years old,15.1,1.9,3.2,2.2,2.3,1.3,1.2,0.9,2.0
2 to 4 years old,22.1,3.4,4.4,3.5,3.1,2.0,1.7,1.1,2.8
5 to 9 years old,34.8,5.0,7.2,6.6,4.7,3.4,2.7,1.8,3.3
10 to 14 years old,17.2,2.3,4.3,2.7,2.6,1.6,1.4,0.8,1.5
15 to 19 years old,5.5,0.9,1.6,1.0,0.5,0.5,0.4,0.2,0.4
20 or more years old,3.0,0.5,0.7,0.5,0.3,0.2,0.3,Q,0.2
Do not have a clothes washer at home,20.6,8.4,5.6,2.1,1.8,0.7,0.5,0.4,1.0
Clothes washer usage,,,,,,,,,
0 loads per week,1.2,0.4,0.2,Q,0.2,Q,Q,N,Q
1 to 4 loads per week,59.8,10.1,14.3,10.3,7.6,5.6,4.2,2.8,5.0
5 to 9 loads per week,27.3,2.7,5.2,4.6,4.3,2.5,2.2,1.7,4.0
10 to 15 loads per week,8.0,0.7,1.5,1.3,1.3,0.8,1.0,0.5,1.0
More than 15 loads per week,1.3,Q,0.3,Q,Q,Q,0.2,Q,0.2
Do not have a clothes washer at home,20.6,8.4,5.6,2.1,1.8,0.7,0.5,0.4,1.0
Usual water temperature setting for the wash cycle,,,,,,,,,
Hot,6.5,1.3,1.5,1.2,0.8,0.6,0.2,0.4,0.6
Warm,47.8,6.7,10.1,7.8,6.7,4.5,3.8,2.2,6.1
Cold,42.1,5.7,9.7,7.3,5.9,3.9,3.6,2.4,3.5
Do not have or use a clothes washer at home,21.7,8.8,5.9,2.3,2.1,0.8,0.5,0.4,1.0
Usual water temperature setting for the rinse cycle,,,,,,,,,
Hot,2.3,0.5,0.5,0.3,0.3,Q,Q,Q,0.2
Warm,23.2,3.8,5.2,3.8,2.5,2.1,1.9,0.9,2.9
Cold,71.0,9.4,15.6,12.3,10.5,6.6,5.6,3.9,7.1
Do not have or use a clothes washer at home,21.7,8.8,5.9,2.3,2.1,0.8,0.5,0.4,1.0
Clothes dryer and fuel,,,,,,,,,
Have a clothes dryer at home,95.3,12.9,21.0,16.1,13.4,9.0,7.6,5.0,10.2
Electricity,75.7,10.9,17.5,13.2,10.9,6.8,5.8,3.3,7.2
Natural gas,18.2,1.9,3.2,2.9,2.3,2.0,1.7,1.4,2.8
Propane,1.4,Q,Q,Q,Q,Q,Q,0.2,0.2
Do not have a clothes dryer at home,22.9,9.6,6.1,2.5,2.0,0.7,0.5,0.4,1.0
Clothes dryer age,,,,,,,,,
Less than 2 years old,11.7,1.4,2.4,1.9,1.8,1.1,1.0,0.6,1.5
2 to 4 years old,20.2,3.0,3.9,3.3,2.9,1.9,1.4,1.3,2.5
5 to 9 years old,33.9,4.4,7.0,5.9,4.7,3.7,2.8,1.8,3.6
10 to 14 years old,19.1,2.6,4.6,3.2,2.9,1.6,1.6,0.9,1.7
15 to 19 years old,6.3,0.8,1.9,1.2,0.7,0.4,0.4,0.2,0.5
20 or more years old,4.0,0.7,1.2,0.6,0.4,0.3,0.3,0.2,0.3
Do not have a clothes dryer at home,22.9,9.6,6.1,2.5,2.0,0.7,0.5,0.4,1.0
Clothes dryer usage,,,,,,,,,
0 loads per week,2.1,0.6,0.5,0.3,0.3,Q,Q,Q,Q
1 to 4 loads per week,57.0,8.7,13.6,9.8,7.4,5.5,4.0,2.8,5.2
5 to 9 loads per week,26.6,2.7,5.1,4.4,4.3,2.5,2.2,1.6,3.8
10 to 15 loads per week,8.3,0.8,1.5,1.4,1.2,0.9,1.1,0.4,1.0
More than 15 loads per week,1.4,Q,0.3,Q,Q,Q,Q,Q,0.2
Do not have a clothes dryer at home,22.9,9.6,6.1,2.5,2.0,0.7,0.5,0.4,1.0
,,,,,,,,,
"     1Housing characteristics data were collected between August 2015 and April 2016.
     2Total U.S. includes all primary occupied housing units in the 50 states and the District of Columbia. Vacant housing units, seasonal units, second homes, military houses, and group quarters are excluded.
     3Some other small kitchen appliance includes stand mixers, bread makers, waffle makers, electric can openers, sandwich makers, coffee grinders, and many other reported appliances.
     Q = Data withheld because either the Relative Standard Error (RSE) was greater than 50% or fewer than 10 responded.
     N = No cases responded.
     Notes:  Because of rounding, data may not sum to totals. See RECS Terminology for definition of terms used in these tables.
     Source: U.S. Energy Information Administration, Office of Energy Consumption and Efficiency Statistics, Forms EIA-457A and EIA-457C of the 2015 Residential Energy Consumption Survey.",,,,,,,,,
